Age_Range,Gender,Education,Employment_Status,AI_Knowledge,AI_Trust,AI_Usage_Scale,Future_AI_Usage,Threaten_Freedoms,Eliminate_Jobs,Job_Affected,Ethical_Limits,AI_Consciousness,Not_AI_App,ML_Algorithm_Knowledge,ChatGPT_Type
18-24,Female,Associate Degree,Unemployed,I've heard a little about it,I'm undecided,2,I'm undecided,I'm undecided,Yes,I'm undecided,Agree,Undecided,WhatsApp,Excel,Natural language processing
18-24,Male,Bachelor's Degree,Student,I have basic knowledge,I trust it,1,I would like to,Strongly disagree,Can't handle it,Think,I disagree,No,I do not know,Excel,Web browser
35-44,Female,Bachelor's Degree,Employed,I have basic knowledge,I'm undecided,3,I would like to,I'm undecided,Yes,I'm undecided,Agree,No,WhatsApp,Game algorithm,Web browser
45 years and older,Female,High School,Retired,I have basic knowledge,I fully trust it,3,I'm undecided,I'm undecided,Undecided,I'm undecided,I'm undecided,Yes,I do not know,I do not know,I do not know
25-34,Male,Associate Degree,Employed,I've heard a little about it,I'm undecided,1,I would like to,I'm undecided,Yes,I'm undecided,Strongly Agree,Yes,Netflix recommendations,I do not know,Web browser
18-24,Female,High School,Student,I have a good level of knowledge,I'm undecided,3,I would like to,I'm undecided,Yes,Think,Strongly Agree,Yes,WhatsApp,Linear regression,Natural language processing
Under 18 years old,Female,High School,Student,I have a good level of knowledge,I'm undecided,4,I'm undecided,Agree,Yes,I'm undecided,I disagree,Yes,WhatsApp,Linear regression,Web browser
18-24,Female,Associate Degree,Unemployed,I have a good level of knowledge,I'm undecided,3,I would like to,I disagree,Yes,Think,Agree,Undecided,WhatsApp,I do not know,I do not know
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,4,I would like to,I'm undecided,No,I don't think so,I disagree,Yes,I do not know,Game algorithm,Web browser
Under 18 years old,Female,High School,Student,I have a good level of knowledge,I'm undecided,2,I would like to,Agree,Yes,I'm undecided,I'm undecided,Undecided,WhatsApp,HTML,Web browser
Under 18 years old,Male,High School,Student,I've heard a little about it,I don't trust it at all,1,"Definitely, I would not like to",Agree,Yes,Definitely I don't think so,Strongly Agree,Undecided,Netflix recommendations,I do not know,Natural language processing
Under 18 years old,Male,High School,Student,I have a good level of knowledge,I'm undecided,2,I'm undecided,I'm undecided,Yes,Definitely I don't think so,I disagree,Yes,WhatsApp,Game algorithm,Web browser
Under 18 years old,Female,High School,Student,I have a good level of knowledge,I'm undecided,3,I would like to,Agree,Can't handle it,I'm undecided,I'm undecided,No,WhatsApp,I do not know,Oyun geliþtirme
Under 18 years old,Female,High School,Student,I've heard a little about it,I'm undecided,2,I would not like to,Strongly Agree,Yes,Think,Strongly Agree,Yes,Netflix recommendations,Excel,Web browser
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,3,I'm undecided,I'm undecided,Undecided,Think,I'm undecided,Undecided,I do not know,I do not know,I do not know
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,3,I would like to,I'm undecided,Yes,Think,Agree,No,Netflix recommendations,Game algorithm,Natural language processing
35-44,Female,Master's/PhD,Employed,I have basic knowledge,I'm undecided,1,I would like to,Agree,Yes,Think,Strongly Agree,Undecided,WhatsApp,Linear regression,Web browser
Under 18 years old,Male,High School,Student,I have basic knowledge,I'm undecided,3,I'm undecided,I disagree,Undecided,I'm undecided,Agree,No,WhatsApp,Linear regression,Web browser
35-44,Male,Bachelor's Degree,Employed,I have a good level of knowledge,I trust it,3,I would like to,Agree,Yes,I definitely think,Strongly Agree,Yes,Netflix recommendations,Game algorithm,Natural language processing
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,4,I would like to,Agree,Can't handle it,Think,Agree,Yes,WhatsApp,HTML,Web browser
Under 18 years old,Female,High School,Student,I have basic knowledge,I trust it,4,"Definitely, I would like to",Agree,Yes,I'm undecided,I'm undecided,Yes,Netflix recommendations,I do not know,I do not know
35-44,Female,High School,Unemployed,I've heard a little about it,I'm undecided,3,I'm undecided,I'm undecided,Yes,I don't think so,I'm undecided,Yes,WhatsApp,I do not know,Image processing
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,1,I'm undecided,Agree,Yes,Think,I'm undecided,No,WhatsApp,HTML,Image processing
18-24,Female,High School,Student,I've heard a little about it,I'm undecided,3,I would like to,I'm undecided,Yes,I'm undecided,Agree,Undecided,WhatsApp,Excel,Web browser
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,3,I'm undecided,I'm undecided,Yes,Think,I disagree,Yes,Netflix recommendations,Excel,Web browser
35-44,Male,Master's/PhD,Employed,I have basic knowledge,I don't trust it at all,2,I'm undecided,Agree,Yes,Think,Strongly Agree,Yes,WhatsApp,Game algorithm,Web browser
35-44,Male,Bachelor's Degree,Employed,I've heard a little about it,I don't trust it,1,I'm undecided,Agree,Yes,Think,Strongly Agree,Yes,WhatsApp,I do not know,I do not know
Under 18 years old,Female,High School,Student,I have basic knowledge,I trust it,3,I would like to,I disagree,Can't handle it,Think,Agree,Yes,WhatsApp,I do not know,Natural language processing
Under 18 years old,Female,High School,Student,I've heard a little about it,I'm undecided,2,I would like to,Agree,Yes,I'm undecided,Agree,Yes,WhatsApp,Linear regression,Web browser
Under 18 years old,Female,High School,Student,I've heard a little about it,I'm undecided,3,I'm undecided,Agree,Yes,Definitely I don't think so,Strongly Agree,Yes,I do not know,I do not know,Web browser
45 years and older,Female,Bachelor's Degree,Employed,I have basic knowledge,I trust it,2,I would like to,I'm undecided,Yes,I don't think so,Agree,No,Netflix recommendations,I do not know,Web browser
Under 18 years old,Female,High School,Student,I have no knowledge,I don't trust it,1,I would not like to,I'm undecided,Yes,I'm undecided,Agree,Yes,WhatsApp,HTML,Web browser
Under 18 years old,Female,High School,Student,I've heard a little about it,I'm undecided,3,I would not like to,Strongly Agree,Yes,I'm undecided,Strongly Agree,Yes,WhatsApp,I do not know,Web browser
Under 18 years old,Female,High School,Student,I've heard a little about it,I'm undecided,1,"Definitely, I would like to",I disagree,Yes,Definitely I don't think so,Strongly Agree,Yes,Netflix recommendations,HTML,Web browser
25-34,Male,Bachelor's Degree,Employed,I have basic knowledge,I don't trust it,1,I would not like to,Agree,Can't handle it,Definitely I don't think so,Agree,No,WhatsApp,Linear regression,Web browser
Under 18 years old,Female,High School,Student,I've heard a little about it,I'm undecided,3,I would not like to,Agree,Yes,I don't think so,Agree,No,Netflix recommendations,I do not know,Web browser
Under 18 years old,Female,High School,Student,I have basic knowledge,I'm undecided,2,I'm undecided,I disagree,Yes,Think,Agree,No,I do not know,I do not know,Natural language processing
18-24,Female,Bachelor's Degree,Student,I've heard a little about it,I don't trust it,3,I'm undecided,Agree,Yes,Think,Strongly Agree,Yes,WhatsApp,I do not know,I do not know
35-44,Female,High School,Unemployed,I have basic knowledge,I'm undecided,2,I'm undecided,I'm undecided,Undecided,I'm undecided,I'm undecided,Undecided,Netflix recommendations,I do not know,Natural language processing
45 years and older,Female,High School,Retired,I've heard a little about it,I'm undecided,1,I'm undecided,I'm undecided,Undecided,I'm undecided,I'm undecided,Undecided,WhatsApp,I do not know,I do not know
45 years and older,Male,Bachelor's Degree,Employed,I've heard a little about it,I'm undecided,1,I would like to,Agree,No,Think,Agree,No,WhatsApp,HTML,I do not know
18-24,Female,High School,Student,I have basic knowledge,I fully trust it,4,"Definitely, I would like to",Strongly disagree,Yes,Think,Agree,No,WhatsApp,Excel,Web browser
Under 18 years old,Female,High School,Student,I have basic knowledge,I trust it,3,I would like to,I'm undecided,Yes,Think,I'm undecided,Undecided,WhatsApp,I do not know,Web browser
Under 18 years old,Female,High School,Student,I have basic knowledge,I trust it,4,I would like to,I'm undecided,Yes,I don't think so,Strongly Agree,No,Netflix recommendations,Excel,Web browser
45 years and older,Male,Bachelor's Degree,Employed,I have basic knowledge,I don't trust it,1,I would like to,Strongly Agree,Yes,Think,Strongly Agree,Undecided,WhatsApp,Linear regression,Natural language processing
45 years and older,Male,Bachelor's Degree,Employed,I have basic knowledge,I trust it,4,I would like to,Agree,Yes,Think,Strongly Agree,No,WhatsApp,Linear regression,Web browser
25-34,Male,Master's/PhD,Employed,I have an expert-level knowledge,I trust it,5,"Definitely, I would like to",Strongly disagree,Yes,I definitely think,Agree,No,WhatsApp,Linear regression,Natural language processing
Under 18 years old,Female,Primary Education,Student,I have a good level of knowledge,I don't trust it at all,2,I'm undecided,I'm undecided,Undecided,I'm undecided,I'm undecided,No,Netflix recommendations,Excel,Web browser
